# EXPERIMENTAL: re-measured CPU cost rows, n=4096 only. NOT installed.
#
# The shipped cost.txt misranks bands: selection picks the slower one at 3
# of 8 operating points on the default reference, up to 1.84x, and
# tools/score_selection.py independently scores its pick at 52% of the best
# available. No pricing rule rescues the shipped rows -- every rule
# score_cost_rule.py implements tops out at 3 of 6 correct, and the one
# that ships is already among the best. The rows are what is wrong.
#
# These are the same cells re-measured with tools/hmf_tune.py --retune-cost,
# which could not run at all until d40f8a0 (it died on band 64's missing
# threshold after 160 rows -- a fair explanation for how the table drifted
# this far unnoticed).
#
# WHAT THEY CHANGE, measured against the clock at n=4096:
#
#   reference   snr   old pick -> new    t(old)   t(new)   effect
#   inspiral    6.0     256  ->  512      408us    207us   1.97x FASTER
#   shallow     5.5     512  -> 1024      981us    587us   1.67x FASTER
#   steep       5.5     256  ->  512      294us    208us   1.41x FASTER
#   steep       6.0     256  ->  512      136us    205us   1.50x slower
#
#   total over the four changed points: 1819us -> 1207us = 1.51x net
#
# Correct at 4 of 6 sampled points against the shipped table's 2 of 6. The
# n=4096 rows are COMPLETE -- 48 keys, 9560 rows, unchanged between two
# snapshots of the run -- so this is not a partial result.
#
# WHY NOT INSTALLED. One point regresses, which rules out "the rows were
# merely stale" -- fresher rows cannot make a correct ranking wrong -- and
# the run was stopped before covering every size the shipped table does
# (it reached n=1024, 2048, 4096, 16384 and part of 32768). Dropping these
# in wholesale would replace rows for sizes that were never re-measured.
# Installing wants a completed run and a human on the 1.50x regression.
#
# Measured on Ryzen AI Max+ 395, AVX3, with the gate as it ships.
#
# n band U K snr f beff margin relative_cost
COST 4096 1024 2 4 5.00 0.999505 32.862 1.000 0.835141
COST 4096 1024 2 8 5.00 0.999505 32.862 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 32.894 1.000 2.888246
COST 4096 2048 2 8 5.00 1.000000 32.894 1.000 2.855896
COST 4096 64 2 4 5.00 0.975406 31.342 1.000 0.762156
COST 4096 64 2 8 5.00 0.975406 31.342 1.000 0.961597
COST 4096 128 2 4 5.00 0.994614 32.576 1.000 0.309790
COST 4096 128 2 8 5.00 0.994614 32.576 1.000 0.316878
COST 4096 256 2 4 5.00 0.995000 32.601 1.000 0.290779
COST 4096 256 2 8 5.00 0.995000 32.601 1.000 0.224382
COST 4096 512 2 4 5.00 0.997391 32.758 1.000 0.467981
COST 4096 512 2 8 5.00 0.997391 32.758 1.000 0.410546
COST 4096 1024 2 4 5.00 0.999316 32.884 1.000 1.043249
COST 4096 1024 2 8 5.00 0.999316 32.884 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 32.929 1.000 3.005198
COST 4096 2048 2 8 5.00 1.000000 32.929 1.000 2.744495
COST 4096 64 2 4 5.00 0.975395 31.345 1.000 0.701720
COST 4096 64 2 8 5.00 0.975395 31.345 1.000 0.774592
COST 4096 128 2 4 5.00 0.994614 32.580 1.000 0.270957
COST 4096 128 2 8 5.00 0.994614 32.580 1.000 0.273733
COST 4096 256 2 4 5.00 0.995000 32.606 1.000 0.359981
COST 4096 256 2 8 5.00 0.995000 32.606 1.000 0.301430
COST 4096 512 2 4 5.00 0.995000 32.606 1.000 0.434180
COST 4096 512 2 8 5.00 0.995000 32.606 1.000 0.388742
COST 4096 1024 2 4 5.00 0.998689 32.848 1.000 0.822632
COST 4096 1024 2 8 5.00 0.998689 32.848 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 32.934 1.000 2.771611
COST 4096 2048 2 8 5.00 1.000000 32.934 1.000 2.585293
COST 4096 64 2 4 5.00 0.975389 31.347 1.000 0.487588
COST 4096 64 2 8 5.00 0.975389 31.347 1.000 0.554143
COST 4096 128 2 4 5.00 0.994613 32.583 1.000 0.173470
COST 4096 128 2 8 5.00 0.994613 32.583 1.000 0.154026
COST 4096 256 2 4 5.00 0.995000 32.608 1.000 0.204050
COST 4096 256 2 8 5.00 0.995000 32.608 1.000 0.204698
COST 4096 512 2 4 5.00 0.995000 32.608 1.000 0.434197
COST 4096 512 2 8 5.00 0.995000 32.608 1.000 0.416443
COST 4096 1024 2 4 5.00 0.995000 32.608 1.000 0.966605
COST 4096 1024 2 8 5.00 0.995000 32.608 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 32.936 1.000 2.089248
COST 4096 2048 2 8 5.00 1.000000 32.936 1.000 2.374108
COST 4096 64 2 4 5.00 0.980288 31.348 1.000 0.639974
COST 4096 64 2 8 5.00 0.980288 31.348 1.000 0.669293
COST 4096 128 2 4 5.00 0.999611 32.584 1.000 0.212562
COST 4096 128 2 8 5.00 0.999611 32.584 1.000 0.193368
COST 4096 256 2 4 5.00 1.000000 32.609 1.000 0.249504
COST 4096 256 2 8 5.00 1.000000 32.609 1.000 0.232218
COST 4096 512 2 4 5.00 1.000000 32.609 1.000 0.329480
COST 4096 512 2 8 5.00 1.000000 32.609 1.000 0.368251
COST 4096 1024 2 4 5.00 1.000000 32.609 1.000 0.762023
COST 4096 1024 2 8 5.00 1.000000 32.609 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 32.609 1.000 2.516156
COST 4096 2048 2 8 5.00 1.000000 32.609 1.000 2.130479
COST 4096 128 2 4 5.00 0.995745 63.509 1.000 0.985553
COST 4096 128 2 8 5.00 0.995745 63.509 1.000 0.949604
COST 4096 256 2 4 5.00 0.996920 63.659 1.000 0.294860
COST 4096 256 2 8 5.00 0.996920 63.659 1.000 0.352569
COST 4096 512 2 4 5.00 0.998392 63.848 1.000 0.427095
COST 4096 512 2 8 5.00 0.998392 63.848 1.000 0.325400
COST 4096 1024 2 4 5.00 0.999579 63.999 1.000 0.941967
COST 4096 1024 2 8 5.00 0.999579 63.999 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 64.053 1.000 2.146196
COST 4096 2048 2 8 5.00 1.000000 64.053 1.000 2.224579
COST 4096 64 2 4 5.00 0.868115 49.589 1.000 1.588544
COST 4096 64 2 8 5.00 0.868115 49.589 1.000 1.733434
COST 4096 128 2 4 5.00 0.995000 63.782 1.000 1.229012
COST 4096 128 2 8 5.00 0.995000 63.782 1.000 1.068050
COST 4096 256 2 4 5.00 0.996381 63.959 1.000 0.383634
COST 4096 256 2 8 5.00 0.996381 63.959 1.000 0.309846
COST 4096 512 2 4 5.00 0.998111 64.181 1.000 0.453772
COST 4096 512 2 8 5.00 0.998111 64.181 1.000 0.639221
COST 4096 1024 2 4 5.00 0.999505 64.360 1.000 1.284080
COST 4096 1024 2 8 5.00 0.999505 64.360 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 64.424 1.000 2.823209
COST 4096 2048 2 8 5.00 1.000000 64.424 1.000 2.859518
COST 4096 64 2 4 5.00 0.858205 48.943 1.000 1.419907
COST 4096 64 2 8 5.00 0.858205 48.943 1.000 1.581267
COST 4096 128 2 4 5.00 0.976460 62.180 1.000 0.877797
COST 4096 128 2 8 5.00 0.976460 62.180 1.000 1.142520
COST 4096 256 2 4 5.00 0.995000 64.540 1.000 0.329400
COST 4096 256 2 8 5.00 0.995000 64.540 1.000 0.307633
COST 4096 512 2 4 5.00 0.997391 64.850 1.000 0.504565
COST 4096 512 2 8 5.00 0.997391 64.850 1.000 0.590729
COST 4096 1024 2 4 5.00 0.999316 65.101 1.000 1.105286
COST 4096 1024 2 8 5.00 0.999316 65.101 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 65.190 1.000 2.265264
COST 4096 2048 2 8 5.00 1.000000 65.190 1.000 2.679542
COST 4096 64 2 4 5.00 0.857856 48.946 1.000 0.814768
COST 4096 64 2 8 5.00 0.857856 48.946 1.000 1.048286
COST 4096 128 2 4 5.00 0.976097 62.187 1.000 0.979054
COST 4096 128 2 8 5.00 0.976097 62.187 1.000 0.739823
COST 4096 256 2 4 5.00 0.994641 64.549 1.000 0.217468
COST 4096 256 2 8 5.00 0.994641 64.549 1.000 0.194448
COST 4096 512 2 4 5.00 0.995000 64.596 1.000 0.365269
COST 4096 512 2 8 5.00 0.995000 64.596 1.000 0.430200
COST 4096 1024 2 4 5.00 0.998689 65.076 1.000 0.647870
COST 4096 1024 2 8 5.00 0.998689 65.076 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 65.246 1.000 1.880816
COST 4096 2048 2 8 5.00 1.000000 65.246 1.000 1.725742
COST 4096 64 2 4 5.00 0.857836 48.948 1.000 1.528724
COST 4096 64 2 8 5.00 0.857836 48.948 1.000 1.704520
COST 4096 128 2 4 5.00 0.976092 62.191 1.000 1.019637
COST 4096 128 2 8 5.00 0.976092 62.191 1.000 1.128238
COST 4096 256 2 4 5.00 0.994641 64.554 1.000 0.371904
COST 4096 256 2 8 5.00 0.994641 64.554 1.000 0.392636
COST 4096 512 2 4 5.00 0.995000 64.600 1.000 0.530718
COST 4096 512 2 8 5.00 0.995000 64.600 1.000 0.526494
COST 4096 1024 2 4 5.00 0.995000 64.600 1.000 1.249468
COST 4096 1024 2 8 5.00 0.995000 64.600 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 65.251 1.000 2.516889
COST 4096 2048 2 8 5.00 1.000000 65.251 1.000 3.082102
COST 4096 64 2 4 5.00 0.862137 48.948 1.000 0.952043
COST 4096 64 2 8 5.00 0.862137 48.948 1.000 1.025307
COST 4096 128 2 4 5.00 0.980994 62.193 1.000 0.812818
COST 4096 128 2 8 5.00 0.980994 62.193 1.000 0.896857
COST 4096 256 2 4 5.00 0.999639 64.556 1.000 0.255845
COST 4096 256 2 8 5.00 0.999639 64.556 1.000 0.272938
COST 4096 512 2 4 5.00 1.000000 64.603 1.000 0.337988
COST 4096 512 2 8 5.00 1.000000 64.603 1.000 0.344052
COST 4096 1024 2 4 5.00 1.000000 64.603 1.000 0.581245
COST 4096 1024 2 8 5.00 1.000000 64.603 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 64.603 1.000 1.845650
COST 4096 2048 2 8 5.00 1.000000 64.603 1.000 1.683666
COST 4096 256 2 4 5.00 0.996381 127.180 1.000 1.672174
COST 4096 256 2 8 5.00 0.996381 127.180 1.000 1.678854
COST 4096 512 2 4 5.00 0.998111 127.622 1.000 0.550713
COST 4096 512 2 8 5.00 0.998111 127.622 1.000 0.563497
COST 4096 1024 2 4 5.00 0.999505 127.979 1.000 1.231643
COST 4096 1024 2 8 5.00 0.999505 127.979 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 128.106 1.000 2.476553
COST 4096 2048 2 8 5.00 1.000000 128.106 1.000 2.431371
COST 4096 128 2 4 5.00 0.862658 100.235 1.000 1.770042
COST 4096 128 2 8 5.00 0.862658 100.235 1.000 1.793037
COST 4096 256 2 4 5.00 0.995000 130.282 1.000 1.428088
COST 4096 256 2 8 5.00 0.995000 130.282 1.000 1.425260
COST 4096 512 2 4 5.00 0.997391 130.909 1.000 0.701240
COST 4096 512 2 8 5.00 0.997391 130.909 1.000 0.742698
COST 4096 1024 2 4 5.00 0.999316 131.415 1.000 1.024219
COST 4096 1024 2 8 5.00 0.999316 131.415 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 131.594 1.000 2.362166
COST 4096 2048 2 8 5.00 1.000000 131.594 1.000 2.076482
COST 4096 128 2 4 5.00 0.859417 97.684 1.000 1.661595
COST 4096 128 2 8 5.00 0.859417 97.684 1.000 1.520080
COST 4096 256 2 4 5.00 0.976783 123.876 1.000 1.371998
COST 4096 256 2 8 5.00 0.976783 123.876 1.000 1.486449
COST 4096 512 2 4 5.00 0.995000 128.494 1.000 0.497809
COST 4096 512 2 8 5.00 0.995000 128.494 1.000 0.573302
COST 4096 1024 2 4 5.00 0.998689 129.449 1.000 1.065853
COST 4096 1024 2 8 5.00 0.998689 129.449 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 129.789 1.000 2.098242
COST 4096 2048 2 8 5.00 1.000000 129.789 1.000 2.125810
COST 4096 128 2 4 5.00 0.859099 97.687 1.000 1.793612
COST 4096 128 2 8 5.00 0.859099 97.687 1.000 1.785919
COST 4096 256 2 4 5.00 0.976438 123.883 1.000 1.493444
COST 4096 256 2 8 5.00 0.976438 123.883 1.000 1.682931
COST 4096 512 2 4 5.00 0.994654 128.504 1.000 0.586780
COST 4096 512 2 8 5.00 0.994654 128.504 1.000 0.608148
COST 4096 1024 2 4 5.00 0.995000 128.593 1.000 1.005299
COST 4096 1024 2 8 5.00 0.995000 128.593 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 129.888 1.000 2.289919
COST 4096 2048 2 8 5.00 1.000000 129.888 1.000 2.320576
COST 4096 128 2 4 5.00 0.863406 97.689 1.000 1.780760
COST 4096 128 2 8 5.00 0.863406 97.689 1.000 1.802825
COST 4096 256 2 4 5.00 0.981342 123.887 1.000 1.579848
COST 4096 256 2 8 5.00 0.981342 123.887 1.000 1.496955
COST 4096 512 2 4 5.00 0.999652 128.508 1.000 0.631484
COST 4096 512 2 8 5.00 0.999652 128.508 1.000 0.597798
COST 4096 1024 2 4 5.00 1.000000 128.598 1.000 1.075165
COST 4096 1024 2 8 5.00 1.000000 128.598 1.000 1.000000
COST 4096 2048 2 4 5.00 1.000000 128.598 1.000 2.166938
COST 4096 2048 2 8 5.00 1.000000 128.598 1.000 2.193325
COST 4096 64 2 4 5.50 0.800000 2.025 1.000 0.124318
COST 4096 64 2 8 5.50 0.800000 2.025 1.000 0.116434
COST 4096 128 2 4 5.50 0.829780 2.179 1.000 0.212433
COST 4096 128 2 8 5.50 0.829780 2.179 1.000 0.242526
COST 4096 256 2 4 5.50 0.876782 2.433 1.000 0.244399
COST 4096 256 2 8 5.50 0.876782 2.433 1.000 0.269465
COST 4096 512 2 4 5.50 0.935696 2.770 1.000 0.391172
COST 4096 512 2 8 5.50 0.935696 2.770 1.000 0.388024
COST 4096 1024 2 4 5.50 0.983141 3.058 1.000 1.062610
COST 4096 1024 2 8 5.50 0.983141 3.058 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 3.164 1.000 2.569198
COST 4096 2048 2 8 5.50 1.000000 3.164 1.000 2.980353
COST 4096 64 2 4 5.50 0.800000 2.026 1.000 0.141863
COST 4096 64 2 8 5.50 0.800000 2.026 1.000 0.124385
COST 4096 128 2 4 5.50 0.800000 2.026 1.000 0.172118
COST 4096 128 2 8 5.50 0.800000 2.026 1.000 0.148149
COST 4096 256 2 4 5.50 0.855225 2.315 1.000 0.249685
COST 4096 256 2 8 5.50 0.855225 2.315 1.000 0.236164
COST 4096 512 2 4 5.50 0.924446 2.705 1.000 0.352844
COST 4096 512 2 8 5.50 0.924446 2.705 1.000 0.370272
COST 4096 1024 2 4 5.50 0.980191 3.041 1.000 0.829086
COST 4096 1024 2 8 5.50 0.980191 3.041 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 3.165 1.000 2.434057
COST 4096 2048 2 8 5.50 1.000000 3.165 1.000 2.457194
COST 4096 64 2 4 5.50 0.800000 2.026 1.000 0.109803
COST 4096 64 2 8 5.50 0.800000 2.026 1.000 0.100840
COST 4096 128 2 4 5.50 0.800000 2.026 1.000 0.162881
COST 4096 128 2 8 5.50 0.800000 2.026 1.000 0.172726
COST 4096 256 2 4 5.50 0.800000 2.026 1.000 0.257726
COST 4096 256 2 8 5.50 0.800000 2.026 1.000 0.312304
COST 4096 512 2 4 5.50 0.895625 2.540 1.000 0.454950
COST 4096 512 2 8 5.50 0.895625 2.540 1.000 0.544508
COST 4096 1024 2 4 5.50 0.972635 2.995 1.000 0.854341
COST 4096 1024 2 8 5.50 0.972635 2.995 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 3.166 1.000 2.614958
COST 4096 2048 2 8 5.50 1.000000 3.166 1.000 2.784594
COST 4096 64 2 4 5.50 0.800000 2.027 1.000 0.082382
COST 4096 64 2 8 5.50 0.800000 2.027 1.000 0.086038
COST 4096 128 2 4 5.50 0.800000 2.027 1.000 0.104021
COST 4096 128 2 8 5.50 0.800000 2.027 1.000 0.122466
COST 4096 256 2 4 5.50 0.800000 2.027 1.000 0.165697
COST 4096 256 2 8 5.50 0.800000 2.027 1.000 0.162774
COST 4096 512 2 4 5.50 0.800000 2.027 1.000 0.351452
COST 4096 512 2 8 5.50 0.800000 2.027 1.000 0.403453
COST 4096 1024 2 4 5.50 0.947564 2.843 1.000 0.676480
COST 4096 1024 2 8 5.50 0.947564 2.843 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 3.166 1.000 2.003818
COST 4096 2048 2 8 5.50 1.000000 3.166 1.000 1.814383
COST 4096 64 2 4 5.50 0.800000 2.027 1.000 0.134985
COST 4096 64 2 8 5.50 0.800000 2.027 1.000 0.118169
COST 4096 128 2 4 5.50 0.800000 2.027 1.000 0.177316
COST 4096 128 2 8 5.50 0.800000 2.027 1.000 0.143264
COST 4096 256 2 4 5.50 0.800000 2.027 1.000 0.314645
COST 4096 256 2 8 5.50 0.800000 2.027 1.000 0.273139
COST 4096 512 2 4 5.50 0.800000 2.027 1.000 0.661137
COST 4096 512 2 8 5.50 0.800000 2.027 1.000 0.469004
COST 4096 1024 2 4 5.50 0.800000 2.027 1.000 0.820186
COST 4096 1024 2 8 5.50 0.800000 2.027 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 3.166 1.000 2.549458
COST 4096 2048 2 8 5.50 1.000000 3.166 1.000 2.246780
COST 4096 64 2 4 5.50 1.000000 2.027 1.000 0.081512
COST 4096 64 2 8 5.50 1.000000 2.027 1.000 0.073181
COST 4096 128 2 4 5.50 1.000000 2.027 1.000 0.108535
COST 4096 128 2 8 5.50 1.000000 2.027 1.000 0.145756
COST 4096 256 2 4 5.50 1.000000 2.027 1.000 0.253862
COST 4096 256 2 8 5.50 1.000000 2.027 1.000 0.188444
COST 4096 512 2 4 5.50 1.000000 2.027 1.000 0.372297
COST 4096 512 2 8 5.50 1.000000 2.027 1.000 0.490782
COST 4096 1024 2 4 5.50 1.000000 2.027 1.000 1.053744
COST 4096 1024 2 8 5.50 1.000000 2.027 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 2.027 1.000 2.785117
COST 4096 2048 2 8 5.50 1.000000 2.027 1.000 2.822414
COST 4096 64 2 4 5.50 0.800000 3.932 1.000 0.236063
COST 4096 64 2 8 5.50 0.800000 3.932 1.000 0.214575
COST 4096 128 2 4 5.50 0.829780 4.230 1.000 0.241460
COST 4096 128 2 8 5.50 0.829780 4.230 1.000 0.239401
COST 4096 256 2 4 5.50 0.876782 4.723 1.000 0.288106
COST 4096 256 2 8 5.50 0.876782 4.723 1.000 0.318202
COST 4096 512 2 4 5.50 0.935696 5.378 1.000 0.566639
COST 4096 512 2 8 5.50 0.935696 5.378 1.000 0.582995
COST 4096 1024 2 4 5.50 0.983141 5.937 1.000 1.387062
COST 4096 1024 2 8 5.50 0.983141 5.937 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 6.143 1.000 3.027451
COST 4096 2048 2 8 5.50 1.000000 6.143 1.000 3.452036
COST 4096 64 2 4 5.50 0.800000 3.934 1.000 0.264949
COST 4096 64 2 8 5.50 0.800000 3.934 1.000 0.252320
COST 4096 128 2 4 5.50 0.800000 3.934 1.000 0.306409
COST 4096 128 2 8 5.50 0.800000 3.934 1.000 0.318026
COST 4096 256 2 4 5.50 0.855225 4.496 1.000 0.346809
COST 4096 256 2 8 5.50 0.855225 4.496 1.000 0.315910
COST 4096 512 2 4 5.50 0.924446 5.252 1.000 0.514704
COST 4096 512 2 8 5.50 0.924446 5.252 1.000 0.530165
COST 4096 1024 2 4 5.50 0.980191 5.904 1.000 1.104568
COST 4096 1024 2 8 5.50 0.980191 5.904 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 6.145 1.000 2.625251
COST 4096 2048 2 8 5.50 1.000000 6.145 1.000 3.164970
COST 4096 64 2 4 5.50 0.800000 3.935 1.000 0.274890
COST 4096 64 2 8 5.50 0.800000 3.935 1.000 0.282142
COST 4096 128 2 4 5.50 0.800000 3.935 1.000 0.330446
COST 4096 128 2 8 5.50 0.800000 3.935 1.000 0.264092
COST 4096 256 2 4 5.50 0.800000 3.935 1.000 0.415630
COST 4096 256 2 8 5.50 0.800000 3.935 1.000 0.510318
COST 4096 512 2 4 5.50 0.895625 4.931 1.000 0.629531
COST 4096 512 2 8 5.50 0.895625 4.931 1.000 0.666310
COST 4096 1024 2 4 5.50 0.972635 5.815 1.000 0.942858
COST 4096 1024 2 8 5.50 0.972635 5.815 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 6.147 1.000 2.738982
COST 4096 2048 2 8 5.50 1.000000 6.147 1.000 3.154434
COST 4096 64 2 4 5.50 0.800000 3.936 1.000 0.185350
COST 4096 64 2 8 5.50 0.800000 3.936 1.000 0.170846
COST 4096 128 2 4 5.50 0.800000 3.936 1.000 0.218524
COST 4096 128 2 8 5.50 0.800000 3.936 1.000 0.149319
COST 4096 256 2 4 5.50 0.800000 3.936 1.000 0.226455
COST 4096 256 2 8 5.50 0.800000 3.936 1.000 0.245975
COST 4096 512 2 4 5.50 0.800000 3.936 1.000 0.446734
COST 4096 512 2 8 5.50 0.800000 3.936 1.000 0.428859
COST 4096 1024 2 4 5.50 0.947564 5.520 1.000 0.784247
COST 4096 1024 2 8 5.50 0.947564 5.520 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 6.148 1.000 2.008644
COST 4096 2048 2 8 5.50 1.000000 6.148 1.000 1.826793
COST 4096 64 2 4 5.50 0.800000 3.936 1.000 0.206408
COST 4096 64 2 8 5.50 0.800000 3.936 1.000 0.201458
COST 4096 128 2 4 5.50 0.800000 3.936 1.000 0.266776
COST 4096 128 2 8 5.50 0.800000 3.936 1.000 0.260768
COST 4096 256 2 4 5.50 0.800000 3.936 1.000 0.318721
COST 4096 256 2 8 5.50 0.800000 3.936 1.000 0.256116
COST 4096 512 2 4 5.50 0.800000 3.936 1.000 0.405300
COST 4096 512 2 8 5.50 0.800000 3.936 1.000 0.421447
COST 4096 1024 2 4 5.50 0.800000 3.936 1.000 0.995229
COST 4096 1024 2 8 5.50 0.800000 3.936 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 6.148 1.000 2.209016
COST 4096 2048 2 8 5.50 1.000000 6.148 1.000 1.868945
COST 4096 64 2 4 5.50 1.000000 3.936 1.000 0.074125
COST 4096 64 2 8 5.50 1.000000 3.936 1.000 0.067922
COST 4096 128 2 4 5.50 1.000000 3.936 1.000 0.103589
COST 4096 128 2 8 5.50 1.000000 3.936 1.000 0.142012
COST 4096 256 2 4 5.50 1.000000 3.936 1.000 0.219691
COST 4096 256 2 8 5.50 1.000000 3.936 1.000 0.174262
COST 4096 512 2 4 5.50 1.000000 3.936 1.000 0.336910
COST 4096 512 2 8 5.50 1.000000 3.936 1.000 0.434060
COST 4096 1024 2 4 5.50 1.000000 3.936 1.000 0.858288
COST 4096 1024 2 8 5.50 1.000000 3.936 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 3.936 1.000 2.345169
COST 4096 2048 2 8 5.50 1.000000 3.936 1.000 2.372282
COST 4096 64 2 4 5.50 0.800000 8.132 1.000 0.166764
COST 4096 64 2 8 5.50 0.800000 8.132 1.000 0.177787
COST 4096 128 2 4 5.50 0.829780 8.748 1.000 0.181848
COST 4096 128 2 8 5.50 0.829780 8.748 1.000 0.200298
COST 4096 256 2 4 5.50 0.876782 9.764 1.000 0.180966
COST 4096 256 2 8 5.50 0.876782 9.764 1.000 0.159400
COST 4096 512 2 4 5.50 0.935696 11.119 1.000 0.285228
COST 4096 512 2 8 5.50 0.935696 11.119 1.000 0.325207
COST 4096 1024 2 4 5.50 0.983141 12.274 1.000 0.771358
COST 4096 1024 2 8 5.50 0.983141 12.274 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 12.699 1.000 2.322212
COST 4096 2048 2 8 5.50 1.000000 12.699 1.000 2.046639
COST 4096 64 2 4 5.50 0.800000 8.137 1.000 0.190277
COST 4096 64 2 8 5.50 0.800000 8.137 1.000 0.169335
COST 4096 128 2 4 5.50 0.800000 8.137 1.000 0.275162
COST 4096 128 2 8 5.50 0.800000 8.137 1.000 0.305012
COST 4096 256 2 4 5.50 0.855225 9.296 1.000 0.314923
COST 4096 256 2 8 5.50 0.855225 9.296 1.000 0.326154
COST 4096 512 2 4 5.50 0.924446 10.859 1.000 0.537658
COST 4096 512 2 8 5.50 0.924446 10.859 1.000 0.408748
COST 4096 1024 2 4 5.50 0.980191 12.207 1.000 0.721774
COST 4096 1024 2 8 5.50 0.980191 12.207 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 12.705 1.000 2.231484
COST 4096 2048 2 8 5.50 1.000000 12.705 1.000 2.295475
COST 4096 64 2 4 5.50 0.800000 8.139 1.000 0.173672
COST 4096 64 2 8 5.50 0.800000 8.139 1.000 0.176395
COST 4096 128 2 4 5.50 0.800000 8.139 1.000 0.461631
COST 4096 128 2 8 5.50 0.800000 8.139 1.000 0.417257
COST 4096 256 2 4 5.50 0.800000 8.139 1.000 0.521753
COST 4096 256 2 8 5.50 0.800000 8.139 1.000 0.488624
COST 4096 512 2 4 5.50 0.895625 10.196 1.000 0.613230
COST 4096 512 2 8 5.50 0.895625 10.196 1.000 0.696027
COST 4096 1024 2 4 5.50 0.972635 12.023 1.000 1.416041
COST 4096 1024 2 8 5.50 0.972635 12.023 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 12.709 1.000 2.715100
COST 4096 2048 2 8 5.50 1.000000 12.709 1.000 3.179949
COST 4096 64 2 4 5.50 0.800000 8.140 1.000 0.227449
COST 4096 64 2 8 5.50 0.800000 8.140 1.000 0.174430
COST 4096 128 2 4 5.50 0.800000 8.140 1.000 0.293444
COST 4096 128 2 8 5.50 0.800000 8.140 1.000 0.312851
COST 4096 256 2 4 5.50 0.800000 8.140 1.000 0.428681
COST 4096 256 2 8 5.50 0.800000 8.140 1.000 0.457806
COST 4096 512 2 4 5.50 0.800000 8.140 1.000 0.887174
COST 4096 512 2 8 5.50 0.800000 8.140 1.000 0.745996
COST 4096 1024 2 4 5.50 0.947564 11.413 1.000 1.054745
COST 4096 1024 2 8 5.50 0.947564 11.413 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 12.710 1.000 2.128975
COST 4096 2048 2 8 5.50 1.000000 12.710 1.000 2.662886
COST 4096 64 2 4 5.50 0.800000 8.141 1.000 0.117538
COST 4096 64 2 8 5.50 0.800000 8.141 1.000 0.112899
COST 4096 128 2 4 5.50 0.800000 8.141 1.000 0.281623
COST 4096 128 2 8 5.50 0.800000 8.141 1.000 0.237563
COST 4096 256 2 4 5.50 0.800000 8.141 1.000 0.280614
COST 4096 256 2 8 5.50 0.800000 8.141 1.000 0.333678
COST 4096 512 2 4 5.50 0.800000 8.141 1.000 0.461462
COST 4096 512 2 8 5.50 0.800000 8.141 1.000 0.561968
COST 4096 1024 2 4 5.50 0.800000 8.141 1.000 0.950655
COST 4096 1024 2 8 5.50 0.800000 8.141 1.000 1.000000
COST 4096 2048 2 4 5.50 1.000000 12.710 1.000 1.763354
COST 4096 2048 2 8 5.50 1.000000 12.710 1.000 1.782799
COST 4096 64 2 4 5.50 1.000000 8.141 1.000 0.064720
COST 4096 64 2 8 5.50 1.000000 8.141 1.000 0.057501
COST 4096 128 2 4 5.50 1.000000 8.141 1.000 0.086078
COST 4096 128 2 8 5.50 1.000000 8.141 1.000 0.083437
COST 4096 256 2 4 5.50 1.000000 8.141 1.000 0.174191
COST 4096 256 2 8 5.50 1.000000 8.141 1.000 0.216816
COST 4096 512 2 4 5.50 1.000000 8.141 1.000 0.331518
COST 4096 512 2 8 5.50 1.000000 8.141 1.000 0.403346
COST 4096 1024 2 4 5.50 1.000000 8.141 1.000 1.029384
